package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s1,6,train,2,1,224,0.2438795268535614
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,4.226058445055969e-05
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.25932577252388
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.701808750629425
ch.hgdev.toposuite,05e3f19e2717_llm_s3,6,train,2,1,224,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.35094889998435974
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s1,7,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,8,test,2,2,474,0.3509066104888916
ca.rmen.nounours,0e7da7b17b63_llm_s1,9,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,10,test,2,2,474,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s1,11,test,2,2,474,0.5707312822341919
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s2,7,test,2,2,661,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s2,8,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,9,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,10,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s2,11,test,2,2,661,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.3509044051170349
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s3,8,test,2,2,498,0.3509043753147125
ca.rmen.nounours,0e7da7b17b63_llm_s3,9,test,2,2,498,0.701808750629425
ca.rmen.nounours,0e7da7b17b63_llm_s3,10,test,2,2,498,0.4960881471633911
ca.rmen.nounours,0e7da7b17b63_llm_s3,11,test,2,2,498,0.5620526075363159
ca.rmen.nounours,0e7da7b17b63_llm_s3,12,test,2,2,498,0.4487415552139282
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.23393625020980835
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s3,4,test,3,3,113,0.701808750629425
app.ladefuchs.android,0f0dc4577a45_llm_s3,5,test,3,3,113,0.2349560409784317
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,3,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,4,test,2,2,74,0.47409313917160034
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,5,test,2,2,74,0.5495126843452454
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,6,test,2,2,74,0.43954727053642273
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,7,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,8,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,9,test,2,2,74,0.5730557441711426
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,1,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,2,test,2,2,74,0.3528180718421936
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,3,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,4,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,5,test,2,2,74,0.5496731996536255
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,6,test,2,2,74,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,7,test,2,2,74,0.573932945728302
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,8,test,2,2,74,0.5723077058792114
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,9,test,2,2,74,0.5730556845664978
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,1,test,2,2,80,0.3509726822376251
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,2,test,2,2,80,0.35281315445899963
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,3,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,4,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,5,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,6,test,2,2,80,0.5732206702232361
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,7,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,8,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,9,test,2,2,80,0.701808750629425
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,10,test,2,2,80,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,0,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,1,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s1,2,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,3,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,4,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,5,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,6,train,2,1,170,0.701808750629425
app.udderance,2074fc55fb78_llm_s1,7,train,3,1,170,0.6867080330848694
app.udderance,2074fc55fb78_llm_s2,0,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,1,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,2,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,3,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,4,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,5,train,2,1,169,0.701808750629425
app.udderance,2074fc55fb78_llm_s2,6,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,7,train,3,1,169,0.00032161877606995404
app.udderance,2074fc55fb78_llm_s3,0,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s3,1,train,2,1,170,0.701808750629425
