package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.2650166153907776
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.3433307707309723
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7017717361450195
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.33318814635276794
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.393888920545578
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.35088586807250977
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.7017717361450195
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.49025624990463257
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.4678478240966797
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.4678478240966797
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,34.53877639770508
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.7017717361450195
app.ladefuchs.android,0f0dc4577a45_llm_s3,3,test,2,1,113,-0.0
app.ladefuchs.android,0f0dc4577a45_llm_s3,4,test,3,3,113,0.4678478240966797
app.ladefuchs.android,0f0dc4577a45_llm_s3,5,test,3,3,113,0.23401130735874176
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,0,test,2,2,74,0.3508882224559784
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,1,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,2,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,3,test,2,2,74,0.5789870023727417
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,4,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,5,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s1,6,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,0,test,2,2,74,0.3508882224559784
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,1,test,2,2,74,0.35273057222366333
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,2,test,2,2,74,0.4371902048587799
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,3,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,4,test,2,2,74,0.6053588390350342
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,5,test,2,2,74,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s2,6,test,2,2,74,0.5992971658706665
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,0,test,2,2,80,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,1,test,2,2,80,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,2,test,2,2,80,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,3,test,2,2,80,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,4,test,2,2,80,0.7017717361450195
ch.joshuah.bibleverseapp,18aff8885c8c_llm_s3,5,test,2,2,80,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,0,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,1,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,2,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,3,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,4,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s1,5,train,3,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s2,0,train,2,1,169,0.7017717361450195
app.udderance,2074fc55fb78_llm_s2,1,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,2,train,2,1,169,0.7017717361450195
app.udderance,2074fc55fb78_llm_s2,3,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,4,train,2,1,169,-0.0
app.udderance,2074fc55fb78_llm_s2,5,train,3,1,169,0.7017717361450195
app.udderance,2074fc55fb78_llm_s3,0,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s3,1,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s3,2,train,2,1,170,0.7017717361450195
app.udderance,2074fc55fb78_llm_s3,3,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s3,4,train,2,1,170,-0.0
app.udderance,2074fc55fb78_llm_s3,5,train,3,1,170,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,0,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,1,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,2,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,3,train,2,2,42,0.35220304131507874
cat.jordihernandez.cinecat,24e9101cdb34_llm_s1,4,train,2,2,42,0.4866306185722351
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,0,train,2,2,42,0.35088586807250977
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,1,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,2,train,2,2,42,0.35088586807250977
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,3,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s2,4,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,0,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,1,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,2,train,2,2,42,0.7017717361450195
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,3,train,2,2,42,0.35220521688461304
cat.jordihernandez.cinecat,24e9101cdb34_llm_s3,4,train,2,2,42,0.48616135120391846
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,0,train,3,5,134,0.42106303572654724
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,1,train,3,5,134,0.5614174008369446
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,2,train,3,5,134,0.42106303572654724
ca.farrelltonsolar.classic,2d767cdb301f_llm_s1,3,train,3,5,134,0.14035558700561523
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,0,train,3,5,138,0.42106303572654724
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,1,train,3,5,138,0.5614174008369446
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,2,train,3,5,138,0.7017717361450195
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,3,train,3,5,138,0.5614174008369446
ca.farrelltonsolar.classic,2d767cdb301f_llm_s2,4,train,3,5,138,0.42106324434280396
ca.farrelltonsolar.classic,2d767cdb301f_llm_s3,0,train,3,5,130,0.5614174008369446
ca.farrelltonsolar.classic,2d767cdb301f_llm_s3,1,train,3,5,130,0.5614174008369446
ca.farrelltonsolar.classic,2d767cdb301f_llm_s3,2,train,3,5,130,0.7017717361450195
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,0,test,3,2,24,0.3512752652168274
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,1,test,4,4,24,0.526328980922699
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,2,test,4,4,24,0.5263659954071045
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,3,test,4,4,24,0.6850113868713379
anonvpn.anon_next.android,2f4839ccdb6e_llm_s1,4,test,4,4,24,0.37986600399017334
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,0,test,3,2,21,0.7017717361450195
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,1,test,4,4,21,0.5164333581924438
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,2,test,4,4,21,0.3517662286758423
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,3,test,4,4,21,0.7017717361450195
anonvpn.anon_next.android,2f4839ccdb6e_llm_s2,4,test,4,4,21,0.5611988306045532
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,0,test,3,2,23,0.0006266228738240898
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,1,test,4,4,23,0.6918748617172241
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,2,test,4,4,23,0.7017717361450195
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,3,test,4,4,23,0.1795598566532135
anonvpn.anon_next.android,2f4839ccdb6e_llm_s3,4,test,4,4,23,0.352324903011322
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,0,train,2,2,199,-0.0
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,1,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,2,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s1,3,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,0,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,1,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,2,train,2,2,199,0.35098883509635925
app.fedilab.nitterizemelite,30ae40611f5f_llm_s2,3,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,0,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,1,train,2,2,199,0.7017717361450195
app.fedilab.nitterizemelite,30ae40611f5f_llm_s3,2,train,2,2,199,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,0,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,1,test,3,5,1941,0.14035435020923615
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,2,test,3,5,1941,0.42106303572654724
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,3,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,4,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s1,5,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,0,test,3,5,1941,0.2807087004184723
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,1,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,2,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,3,test,3,5,1941,0.42106303572654724
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,4,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s2,5,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,0,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,1,test,3,5,1941,0.7017717361450195
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,2,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,3,test,3,5,1941,0.5614174008369446
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,4,test,3,5,1941,7.328818321228027
app.michaelwuensch.bitbanana,36bdbc1733f0_llm_s3,5,test,3,5,1941,0.42106303572654724
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,0,train,2,1,46,0.010017634369432926
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,1,train,2,1,46,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,2,train,2,2,46,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,3,train,2,2,46,0.35110995173454285
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,4,train,2,2,46,0.0025973643641918898
be.digitalia.fosdem,37b1a8bb28b9_llm_s1,5,train,2,2,46,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,0,train,2,1,56,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,1,train,2,1,56,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,2,train,2,2,56,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,3,train,2,2,56,0.35122159123420715
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,4,train,2,2,56,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s2,5,train,2,2,56,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,0,train,2,1,44,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,1,train,2,1,44,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,2,train,2,1,44,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,3,train,2,1,44,0.7017717361450195
be.digitalia.fosdem,37b1a8bb28b9_llm_s3,4,train,2,1,44,0.022536009550094604
bus.chio.wishmaster,39f811f07c23_llm_s1,0,test,2,1,52,0.7017717361450195
bus.chio.wishmaster,39f811f07c23_llm_s1,1,test,2,1,52,0.7017717361450195
bus.chio.wishmaster,39f811f07c23_llm_s2,0,test,2,1,52,-0.0
bus.chio.wishmaster,39f811f07c23_llm_s2,1,test,2,1,52,0.7017717361450195
bus.chio.wishmaster,39f811f07c23_llm_s3,0,test,2,1,52,0.7017717361450195
bus.chio.wishmaster,39f811f07c23_llm_s3,1,test,2,1,52,0.7017717361450195
app.comaps.fdroid,47d583fd8b06_llm_s1,0,train,3,5,160,0.42106303572654724
app.comaps.fdroid,47d583fd8b06_llm_s1,1,train,5,7,160,0.21799619495868683
app.comaps.fdroid,47d583fd8b06_llm_s1,2,train,5,8,160,0.5750885009765625
app.comaps.fdroid,47d583fd8b06_llm_s1,3,train,5,8,160,0.5816609263420105
app.comaps.fdroid,47d583fd8b06_llm_s1,4,train,5,8,160,0.5978624224662781
app.comaps.fdroid,47d583fd8b06_llm_s2,0,train,3,5,148,0.5614174008369446
app.comaps.fdroid,47d583fd8b06_llm_s2,1,train,5,7,148,0.4010125696659088
app.comaps.fdroid,47d583fd8b06_llm_s2,2,train,5,7,148,5.24520206451416
app.comaps.fdroid,47d583fd8b06_llm_s2,3,train,5,7,148,0.702161431312561
app.comaps.fdroid,47d583fd8b06_llm_s3,0,train,3,5,157,0.2807087004184723
app.comaps.fdroid,47d583fd8b06_llm_s3,1,train,5,7,157,0.33573922514915466
app.comaps.fdroid,47d583fd8b06_llm_s3,2,train,5,7,157,5.437075614929199
app.comaps.fdroid,47d583fd8b06_llm_s3,3,train,5,7,157,0.5626309514045715
app.organicmaps,4862fbeed029_llm_s1,0,test,3,4,145,0.7017717361450195
app.organicmaps,4862fbeed029_llm_s1,1,test,5,4,145,0.35454118251800537
app.organicmaps,4862fbeed029_llm_s1,2,test,5,5,145,0.28071272373199463
app.organicmaps,4862fbeed029_llm_s1,3,test,5,5,145,0.4065348505973816
app.organicmaps,4862fbeed029_llm_s1,4,test,5,5,145,0.4338144361972809
app.organicmaps,4862fbeed029_llm_s2,0,test,3,4,142,0.35088586807250977
app.organicmaps,4862fbeed029_llm_s2,1,test,5,4,142,0.35281455516815186
app.organicmaps,4862fbeed029_llm_s2,2,test,5,5,142,0.7017717361450195
app.organicmaps,4862fbeed029_llm_s2,3,test,5,5,142,0.4159504473209381
app.organicmaps,4862fbeed029_llm_s3,0,test,3,4,142,0.7017717361450195
app.organicmaps,4862fbeed029_llm_s3,1,test,5,4,142,0.35264694690704346
app.organicmaps,4862fbeed029_llm_s3,2,test,5,5,142,0.5614174008369446
