package,session_id,window,split,n_active_nodes,n_edges,events_kept,reconstruction_error
ch.hgdev.toposuite,05e3f19e2717_llm_s1,0,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s1,1,train,2,1,224,0.002077172277495265
ch.hgdev.toposuite,05e3f19e2717_llm_s1,2,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s1,3,train,2,1,224,0.26239028573036194
ch.hgdev.toposuite,05e3f19e2717_llm_s1,4,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s1,5,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s3,0,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s3,1,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s3,2,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s3,3,train,2,1,224,0.28050824999809265
ch.hgdev.toposuite,05e3f19e2717_llm_s3,4,train,2,1,224,0.7007614970207214
ch.hgdev.toposuite,05e3f19e2717_llm_s3,5,train,2,1,224,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s1,0,test,2,2,474,0.3503807485103607
ca.rmen.nounours,0e7da7b17b63_llm_s1,1,test,2,2,474,0.3503807485103607
ca.rmen.nounours,0e7da7b17b63_llm_s1,2,test,2,2,474,0.3503807485103607
ca.rmen.nounours,0e7da7b17b63_llm_s1,3,test,2,2,474,0.3503807485103607
ca.rmen.nounours,0e7da7b17b63_llm_s1,4,test,2,2,474,0.3503807485103607
ca.rmen.nounours,0e7da7b17b63_llm_s1,5,test,2,2,474,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s1,6,test,2,2,474,0.5032168626785278
ca.rmen.nounours,0e7da7b17b63_llm_s2,0,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,1,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,2,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,3,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,4,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,5,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s2,6,test,2,2,661,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,0,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,1,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,2,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,3,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,4,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,5,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,6,test,2,2,498,0.7007614970207214
ca.rmen.nounours,0e7da7b17b63_llm_s3,7,test,2,2,498,0.5862066745758057
app.ladefuchs.android,0f0dc4577a45_llm_s1,0,test,2,1,106,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s1,1,test,2,1,106,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s1,2,test,2,1,106,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s1,3,test,2,1,106,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s1,4,test,3,3,106,0.46717432141304016
app.ladefuchs.android,0f0dc4577a45_llm_s2,0,test,2,1,101,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s2,1,test,2,1,101,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s2,2,test,2,1,101,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s2,3,test,3,3,101,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s2,4,test,3,3,101,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s3,0,test,2,1,113,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s3,1,test,2,1,113,0.7007614970207214
app.ladefuchs.android,0f0dc4577a45_llm_s3,2,test,2,1,113,0.7007614970207214
